Timestamp,Voltage [uV]
2018/04/01 00:04:11 +0000,8266800
2018/04/01 00:04:15 +0000,8256800
2018/04/01 00:13:46 +0000,8246800
2018/04/01 00:51:37 +0000,8168800
2018/04/01 00:51:57 +0000,8168800
2018/04/01 00:52:21 +0000,8158800
2018/04/01 00:54:20 +0000,8158800
2018/04/01 01:07:59 +0000,8128800
2018/04/01 02:45:02 +0000,8362800
2018/04/01 02:48:02 +0000,8362800
2018/04/01 02:52:02 +0000,8363133
2018/04/01 02:56:02 +0000,8362800
2018/04/01 03:00:02 +0000,8362800
2018/04/01 03:04:01 +0000,8362800
2018/04/01 03:08:01 +0000,8362800
2018/04/01 03:12:01 +0000,8362800
2018/04/01 03:16:05 +0000,8306133
2018/04/01 03:20:04 +0000,8277066
2018/04/01 03:24:05 +0000,8258733
2018/04/01 03:28:05 +0000,8248733
2018/04/01 03:32:05 +0000,8229066
2018/04/01 03:36:04 +0000,8208733
2018/04/01 03:40:04 +0000,8198466
2018/04/01 03:44:05 +0000,8180466
2018/04/01 03:48:05 +0000,8160733
2018/04/01 03:52:04 +0000,8140466
2018/04/01 03:56:04 +0000,8130466
2018/04/01 04:00:04 +0000,8110466
2018/04/01 04:04:05 +0000,8102133
2018/04/01 04:08:05 +0000,8082733
2018/04/01 04:12:04 +0000,8063066
2018/04/01 04:16:04 +0000,8042733
2018/04/01 04:20:04 +0000,8023400
2018/04/01 04:24:05 +0000,8015400
2018/04/01 04:28:05 +0000,7994733
2018/04/01 04:32:04 +0000,7975066
2018/04/01 04:36:04 +0000,7964733
2018/04/01 04:40:05 +0000,7954733
2018/04/01 04:44:05 +0000,7935400
2018/04/01 04:48:05 +0000,7917066
2018/04/01 04:52:05 +0000,7907400
2018/04/01 04:56:04 +0000,7887400
2018/04/01 05:00:05 +0000,7876466
2018/04/01 05:04:05 +0000,7857400
2018/04/01 05:08:05 +0000,7846466
2018/04/01 05:12:04 +0000,7838733
2018/04/01 05:16:04 +0000,7819400
2018/04/01 05:20:05 +0000,7799400
2018/04/01 05:24:05 +0000,7780066
2018/04/01 05:28:05 +0000,7778733
2018/04/01 05:32:04 +0000,7786800
2018/04/01 05:36:04 +0000,7776800
2018/04/01 05:40:05 +0000,7766800
2018/04/01 05:44:05 +0000,7766800
2018/04/01 05:48:05 +0000,7756800
2018/04/01 05:52:04 +0000,7748800
2018/04/01 05:56:04 +0000,7738800
2018/04/01 06:00:04 +0000,7738800
2018/04/01 06:04:05 +0000,7728800
2018/04/01 06:08:05 +0000,7718800
2018/04/01 06:12:05 +0000,7718800
2018/04/01 06:16:05 +0000,7708800
2018/04/01 06:20:04 +0000,7698800
2018/04/01 06:24:04 +0000,7688800
2018/04/01 06:28:05 +0000,7688800
2018/04/01 06:32:05 +0000,7678800
2018/04/01 06:36:05 +0000,7668800
2018/04/01 06:40:05 +0000,7668800
2018/04/01 06:44:04 +0000,7660800
2018/04/01 06:48:04 +0000,7650800
2018/04/01 06:52:05 +0000,7650800
2018/04/01 06:56:05 +0000,7640800
2018/04/01 07:00:05 +0000,7630800
2018/04/01 07:04:04 +0000,7620800
2018/04/01 07:08:04 +0000,7620800
2018/04/01 07:12:05 +0000,7610800
2018/04/01 07:16:05 +0000,7600800
2018/04/01 07:20:05 +0000,7600800
2018/04/01 07:24:05 +0000,7590800
2018/04/01 07:28:04 +0000,7580800
2018/04/01 07:32:04 +0000,7580800
2018/04/01 07:36:04 +0000,7572800
2018/04/01 07:40:04 +0000,7562800
2018/04/01 07:44:04 +0000,7552800
2018/04/01 07:48:05 +0000,7552800
2018/04/01 07:52:05 +0000,7542800
2018/04/01 07:56:04 +0000,7532800
2018/04/01 08:00:04 +0000,7532800
2018/04/01 08:04:04 +0000,7522800
2018/04/01 08:08:05 +0000,7512800
2018/04/01 08:12:05 +0000,7512800
2018/04/01 08:16:05 +0000,7502800
2018/04/01 08:20:04 +0000,7494800
2018/04/01 08:24:04 +0000,7484800
2018/04/01 08:28:05 +0000,7484800
2018/04/01 08:32:05 +0000,7474800
2018/04/01 08:36:05 +0000,7464800
2018/04/01 08:40:04 +0000,7464800
2018/04/01 08:44:04 +0000,7454800
2018/04/01 08:48:05 +0000,7444800
2018/04/01 08:52:05 +0000,7434800
2018/04/01 08:56:05 +0000,7424800
2018/04/01 09:00:04 +0000,7414800
2018/04/01 09:04:04 +0000,7414800
2018/04/01 09:08:04 +0000,7406800
2018/04/01 09:12:05 +0000,7396800
2018/04/01 09:16:05 +0000,7359066
2018/04/01 09:20:04 +0000,7349066
2018/04/01 09:24:04 +0000,7329066
2018/04/01 09:28:05 +0000,7322066
2018/04/01 09:32:05 +0000,7311400
2018/04/01 09:36:05 +0000,7301400
2018/04/01 09:40:04 +0000,7301733
2018/04/01 09:44:04 +0000,7291066
2018/04/01 09:48:05 +0000,7272066
2018/04/01 09:52:05 +0000,7272066
2018/04/01 09:56:05 +0000,7252733
2018/04/01 10:00:04 +0000,7252066
2018/04/01 10:04:04 +0000,7251400
2018/04/01 10:08:05 +0000,7241400
2018/04/01 10:12:05 +0000,7233733
2018/04/01 10:16:05 +0000,7233733
2018/04/01 10:20:04 +0000,7233400
2018/04/01 10:24:04 +0000,7224066
2018/04/01 10:28:05 +0000,7214400
2018/04/01 10:32:05 +0000,7213400
2018/04/01 10:36:04 +0000,7212733
2018/04/01 10:40:05 +0000,7203733
2018/04/01 10:44:05 +0000,7193400
2018/04/01 10:48:05 +0000,7193400
2018/04/01 10:52:04 +0000,7183400
2018/04/01 10:56:04 +0000,7184066
2018/04/01 11:00:05 +0000,7174400
2018/04/01 11:04:05 +0000,7173733
2018/04/01 11:08:04 +0000,7164400
2018/04/01 11:12:04 +0000,7154400
2018/04/01 11:16:05 +0000,7153400
2018/04/01 11:20:05 +0000,7153400
2018/04/01 11:24:04 +0000,7145400
2018/04/01 11:28:04 +0000,7145400
2018/04/01 11:32:05 +0000,7135733
2018/04/01 11:36:05 +0000,7135733
2018/04/01 11:40:04 +0000,7126400
2018/04/01 11:44:04 +0000,7126400
2018/04/01 11:48:05 +0000,7116400
2018/04/01 11:52:05 +0000,7106400
2018/04/01 11:56:04 +0000,7105733
2018/04/01 12:00:04 +0000,7105733
2018/04/01 12:04:05 +0000,7105400
2018/04/01 12:08:05 +0000,7086400
2018/04/01 12:12:04 +0000,7086400
2018/04/01 12:16:05 +0000,7076400
2018/04/01 12:20:05 +0000,7076400
2018/04/01 12:24:04 +0000,7066400
2018/04/01 12:28:05 +0000,7065400
2018/04/01 12:32:05 +0000,7058400
2018/04/01 12:36:05 +0000,7057066
2018/04/01 12:40:05 +0000,7038733
2018/04/01 12:44:04 +0000,7028733
2018/04/01 12:48:04 +0000,7019400
2018/04/01 12:52:05 +0000,7017733
2018/04/01 12:56:05 +0000,6998733
2018/04/01 13:00:04 +0000,6988733
2018/04/01 13:04:05 +0000,6978733
2018/04/01 13:08:05 +0000,6970733
2018/04/01 13:12:05 +0000,6960066
2018/04/01 13:16:04 +0000,6950066
2018/04/01 13:20:04 +0000,6930400
2018/04/01 13:24:05 +0000,6910733
2018/04/01 13:28:05 +0000,6892400
2018/04/01 13:32:04 +0000,6872066
2018/04/01 13:36:05 +0000,6862733
2018/04/01 13:40:05 +0000,6842733
2018/04/01 13:44:04 +0000,6832733
2018/04/01 13:48:04 +0000,6833066
2018/04/01 13:52:05 +0000,6822733
2018/04/01 13:56:05 +0000,6820733
2018/04/01 14:00:04 +0000,6811066
2018/04/01 14:04:04 +0000,6794066
2018/04/01 14:08:05 +0000,6775066
2018/04/01 14:12:05 +0000,6763733
2018/04/01 14:16:04 +0000,6745066
2018/04/01 14:20:04 +0000,6716733
2018/04/01 14:24:05 +0000,6677066
2018/04/01 14:28:04 +0000,6618066
2018/04/01 14:32:04 +0000,6520400
2018/04/01 14:36:05 +0000,6392066
2018/04/01 14:40:05 +0000,6189666
2018/04/01 14:44:04 +0000,5855066
2018/04/01 17:44:01 +0000,7132800
2018/04/01 17:48:01 +0000,7161133
2018/04/01 17:52:02 +0000,7190800
2018/04/01 17:56:02 +0000,7210800
2018/04/01 18:00:02 +0000,7238800
2018/04/01 18:04:01 +0000,7258800
2018/04/01 18:08:01 +0000,7278800
2018/04/01 18:12:02 +0000,7288800
2018/04/01 18:16:02 +0000,7289466
2018/04/01 18:20:02 +0000,7308800
2018/04/01 18:24:01 +0000,7319133
2018/04/01 18:28:01 +0000,7326800
2018/04/01 18:32:02 +0000,7336800
2018/04/01 18:36:02 +0000,7336800
2018/04/01 18:40:02 +0000,7346800
2018/04/01 18:44:02 +0000,7366800
